Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
2011-11-02 18:24:17,43.5778,38.921,4.68,0.69,Md,2.3,Van Gölü - [01.96 km] Tuşba (Van),144607
2011-11-02 18:29:30,43.422,38.7667,7.0,0.73,Ml,2.3,Tuşba (Van),144608
2011-11-06 14:24:22,43.5317,38.9303,7.48,0.53,Md,2.3,Van Gölü - [02.73 km] Tuşba (Van),145596
2011-11-06 12:36:39,43.4122,38.8278,7.0,0.66,Md,2.3,Tuşba (Van),145572
2011-11-02 18:21:47,43.6282,38.87,7.0,0.41,Ml,2.3,Tuşba (Van),144605
2011-11-04 14:23:37,43.2057,38.6715,7.0,0.69,Md,2.3,Tuşba (Van),145084
2011-10-31 23:53:51,43.5865,38.8125,7.0,0.24,Md,2.3,Tuşba (Van),144219
2011-10-31 06:28:12,43.2645,38.8388,7.0,0.24,Ml,2.3,Van Gölü - [04.87 km] Tuşba (Van),144065
2011-10-31 23:37:32,43.539,38.9297,11.98,0.4,Md,2.3,Van Gölü - [02.43 km] Tuşba (Van),144215
2011-10-31 01:54:36,43.4983,38.9727,12.29,0.28,Ml,2.3,Van Gölü - [04.17 km] Erciş (Van),144008
2011-11-06 13:16:06,43.4723,38.8153,7.0,0.7,Md,2.3,Tuşba (Van),145578
2011-11-05 20:20:04,43.4518,38.7613,7.0,0.67,Ml,2.3,Tuşba (Van),145413
2011-10-31 00:50:42,43.4873,38.8273,7.0,0.74,Ml,2.3,Tuşba (Van),143993
2011-11-08 10:18:14,43.1418,38.7102,7.02,0.16,Md,2.3,Van Gölü - [05.51 km] Tuşba (Van),145990
2011-11-08 21:10:42,43.2907,38.707,7.0,0.11,Ml,2.2,Tuşba (Van),146108
2011-11-02 19:35:17,43.5467,38.9655,9.43,0.38,Ml,2.2,Van Gölü - [03.50 km] Erciş (Van),144632
2011-11-02 18:20:35,43.4198,38.8468,7.0,0.94,Ml,2.2,Tuşba (Van),144604
2011-10-30 21:18:52,43.699,38.8965,7.0,0.54,Ml,2.2,Muradiye (Van),143946
2011-11-05 18:04:35,38.4887,38.0882,7.0,0.16,Md,2.2,Sincik (Adıyaman),145387
2011-11-03 06:34:01,43.2713,38.6295,7.0,0.61,Ml,2.2,Tuşba (Van),144781
2011-11-03 10:32:34,43.2117,38.6285,7.0,0.74,Ml,2.2,Tuşba (Van),144811
2011-11-10 13:56:04,43.4585,38.9537,7.03,0.38,Ml,2.2,Van Gölü - [07.00 km] Erciş (Van),146474
2011-11-01 22:09:48,43.085,38.614,7.0,0.2,Ml,2.2,Van Gölü - [11.41 km] Tuşba (Van),144428
2011-11-05 18:22:35,43.2663,38.7153,7.0,0.54,Ml,2.2,Tuşba (Van),145390
2011-11-08 23:34:08,39.5275,38.6193,7.0,0.24,Md,2.2,Merkez (Elazığ),146134
2011-11-05 18:31:54,43.4997,38.9047,7.01,0.48,Ml,2.2,Van Gölü - [04.10 km] Tuşba (Van),145394
2011-10-28 09:33:13,36.2185,37.5303,7.06,0.32,Ml,2.2,Kadirli (Osmaniye),143356
2011-11-05 20:33:07,43.4432,38.8447,7.0,0.52,Ml,2.2,Tuşba (Van),145415
2011-11-05 20:37:43,43.4542,38.8435,7.0,0.49,Ml,2.2,Tuşba (Van),145417
2011-11-09 00:45:39,43.2348,38.6702,7.0,0.98,Ml,2.2,Tuşba (Van),146145
2011-11-02 19:21:33,43.179,38.6102,7.0,0.96,Ml,2.2,Van Gölü - [03.62 km] Tuşba (Van),144627
2011-10-30 22:21:59,43.4167,38.8087,7.0,0.14,Ml,2.2,Tuşba (Van),143960
2011-11-01 16:25:37,43.2588,38.6958,7.0,1.02,Ml,2.2,Tuşba (Van),144367
2011-11-07 08:23:02,43.2063,38.6945,7.0,0.27,Ml,2.2,Tuşba (Van),145803
2011-11-06 02:55:52,43.5022,39.0103,7.04,0.44,Ml,2.2,Erciş (Van),145482
2011-11-06 04:38:45,43.3627,38.7317,7.0,0.4,Ml,2.1,Tuşba (Van),145488
2011-11-08 21:04:17,43.4303,38.7558,7.0,0.12,Ml,2.1,Tuşba (Van),146106
2011-11-08 09:40:10,43.2913,38.5032,24.4,0.18,Md,2.1,Van Gölü - [03.11 km] Tuşba (Van),145988
2011-11-05 17:05:11,43.5615,38.8853,14.72,0.48,Ml,2.1,Tuşba (Van),145375
2011-11-06 02:50:49,43.5007,38.7495,7.0,0.74,Ml,2.1,Tuşba (Van),145480
2011-11-06 02:01:48,43.5587,38.8093,7.0,0.42,Ml,2.0,Tuşba (Van),145471
2011-10-30 17:14:00,43.1565,38.741,7.0,0.22,Ml,2.0,Van Gölü - [04.91 km] Tuşba (Van),143880
2011-10-30 23:30:37,43.463,38.8833,7.0,0.91,Ml,2.0,Van Gölü - [04.61 km] Tuşba (Van),143976
2011-11-08 11:47:13,38.7342,39.8752,11.18,0.13,Ml,2.0,Refahiye (Erzincan),146000
